,country,description,designation,points,price,province,first_region,second_region,taster_name,taster_twitter_handle,title,variety,winery,Latitude,Longitude
14843,US,"A single-barrel reserve, this wine is compact and concentratedÉ??a perfectly melded blend of fruit, barrel and acidity. It's a refined, beautifully polished wine, with just a touch of butterscotch wrapped into the finish. Drink now through 2030. If enjoyed soon, give it some time in the decanter to open up.",Latifeh,96,100,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine?ˇ,Ayoub 2013 Latifeh Pinot Noir (Willamette Valley),Pinot Noir,Ayoub,44.942554,-122.9337615
2752,US,"This is possibly the most savory rendition of Syrah made on the Central Coast, each vintage as feral as the last. This bottling shows bloody lamb, crushed peppercorn, soy and barnyard elements on the nose. The palate is tense with tarry structure, revealing unusual kelp, stewed peppercorn, black miso and teriyaki flavors.",Estate,96,40,California,San Luis Obispo County,Central Coast,Matt Kettmann,@mattkettmann,Stolo 2014 Estate Syrah (San Luis Obispo County),Syrah,Stolo,35.3102296,-120.4357631
784,US,"With a majority of Pommard clone in this wine contributing to its undeniable breadth and depth, this rich, rewarding wine will benefit from further time in bottle. Sultry baking spice accents kirsch and strawberry, with understudies of tar, rose garden and tannin, all framed by moderate acidity. Cellar through 2023.",Single Vineyard Reserve,96,90,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Donum 2013 Single Vineyard Reserve Pinot Noir (Russian River Valley),Pinot Noir,Donum,38.483083,-122.80327
2751,US,"This wine from Jordan Fiorentini is a stunning study in how to achieve extreme richness with elegance. Deep black cherry, violet, espresso, milk chocolate and vanilla pastry show on the nose. On the palate, chalky, soft tannins bring forth baked blueberry, star anise and clove flavors, with floral tones and acidic lift on the finish.",Block B Paderewski Vineyard,96,90,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Epoch Estate Wines 2013 Block B Paderewski Vineyard Syrah (Paso Robles),Syrah,Epoch Estate Wines,35.6368759,-120.6545022
20442,US,"Aromas of dried herbs, green olive, grilled asparagus and smoke lead to intensely concentrated savory flavors with a flat-out dazzling mouthfeel. It's a knockout that overloads the senses.",Bionic Frog,96,95,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Cayuse 2012 Bionic Frog Syrah (Walla Walla Valley (WA)),Syrah,Cayuse,46.0655953,-118.3387429
17369,US,"A completely different blend from the winery's 2006 Ciel, this reflects Chris Camarda's growing enchantment with Cabernet Franc, which is now 45% of the blend. Most of the rest is MerlotÉ??a Right Bank style. The concept works. It captures the sleek minerality of the site, and puts the fruit into tight, laser-like focus. The wine seems almost crystallineÉ??sharp-edged and reflective, with penetrating angles and offset flavors.",Ciel du Cheval Vineyard Red Wine,96,53,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Andrew Will 2007 Ciel du Cheval Vineyard Red Wine Red (Red Mountain),Red Blend,Andrew Will,49.1024147,-117.8194705
13910,US,"From the winery's Phinny Hill vineyard, the Columbia Rediviva is 48% Cabernet Sauvignon and 52% Syrah. Complex and satiny, it's a riveting wine, inky and bursting with a sensuous mix of berry, cassis, mocha, loam, cinnamon and spice. Tremendous density and depth; despite its youth the wine curls around the tongue like thick smoke, showing more and more detail.",Columbia Rediviva,96,48,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Buty 2007 Columbia Rediviva Cabernet Sauvignon-Syrah (Horse Heaven Hills),Cabernet Sauvignon-Syrah,Buty,46.1331878,-119.8678139
19948,US,"This bottling showcases Jim Clendenen's brilliance at making light wines packed with flavor. Rustic sagebrush, oak forest and animal pelt aromas meet red plum and alpine strawberry fruit on the nose. There's a salt and white pepper quality to the palate, where wild sage and more chapparal spice decorates the pomegranate and red plum fruit flavors.",Le Bon Climat,96,50,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Clendenen Family 2013 Le Bon Climat Pinot Noir (Santa Maria Valley),Pinot Noir,Clendenen Family,34.9025217,-120.4478438
19947,US,"The condensed pomegranate aroma on the nose of this bottling from Jim Clendenen is beautifully spiced with star anise, tobacco leaf, dried ginger and cinnamon. The palate shows chai and Indian spiceÉ??accents to the cranberry fruit that rides a fine line between ripe and tart. Although light in body, the tannic structure is firm enough to cellar for decades. Drink nowÉ??2033.",Knox Alexander Estate Bottled,96,50,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Au Bon Climat 2013 Knox Alexander Estate Bottled Pinot Noir (Santa Maria Valley),Pinot Noir,Au Bon Climat,34.9025217,-120.4478438
19946,US,"This ChardonnayÉ??one of the best tasted in monthsÉ??is light in the glass and shows clean, refreshing, yet compellingly rich sea salt, toasted sourdough, key lime and daffodil aromas. Its unique palate blends bright lemon-lime, Asian pear and Marcona almond flavors with a crushed shell minerality that brings the seashore to mind.",White Hills Vineyard,96,65,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,D'Alfonso-Curran 2013 White Hills Vineyard Chardonnay (Santa Barbara County),Chardonnay,D'Alfonso-Curran,34.4208321,-119.6982057
12709,US,"Elegant and almost ethereal, this wine is tantalizing and irresistible. It shows sophistication, from the mysterious, earthy bouquet to the complex, well-aged brioche and peach flavors, as well as the almost gentle texture and refined finish. While full bodied, the wine has great balance, as all the tasty components join together to weave their magic.",J. Schram Brut Ros??,96,150,California,North Coast,North Coast,Jim Gordon,@gordone_cellars,Schramsberg 2007 J. Schram Brut Ros??  (North Coast),Champagne Blend,Schramsberg,33.2359409,-117.255003
12708,US,"Made from 76% Pinot Noir and 24% Chardonnay, spice-tinged fruit aromas and toasted baguette complexity make a grand entrance on the nose. It then gushes bold and complex flavors, like toasted walnuts and almonds, poached pears and a touch of ginger. Although big and broad in flavor for a sparkling wine, it's very well structured and a good bet to age through 2022 or longer.",Reserve,96,120,California,North Coast,North Coast,Jim Gordon,@gordone_cellars,Schramsberg 2007 Reserve Sparkling (North Coast),Sparkling Blend,Schramsberg,33.2359409,-117.255003
18505,US,"This is the third release of Figgins, a single wine produced by Leonetti's Chris Figgins from his Figgins Estate vineyard. Intensely aromatic, it explodes from the glass with baking spices and deep cassis fruit. Over the course of three days it opened into a sleek, stylish, complex mix of purple- and black-berries, dried herbs, bark, dusty cocoa and a streak of caramel. Long and lush, it's a wine to cellar for a decade or more.",Estate,96,85,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Figgins 2010 Estate Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Figgins,46.0655953,-118.3387429
12707,US,"From Laguna Ridge Vineyard, which surrounds the producer's winery, this bottling begs to be explored. It's beguiling from the beginning, with unexpected shots of soy, corn nuts and gamy charcuterie. Big, structured tannins support juicy flavors of black cherry and raspberry, resulting in a complex, velvety mouthfeel. Flourishes of dark chocolate and cardamom tease on the finish.",Coopersmith,96,63,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Merry Edwards 2013 Coopersmith Pinot Noir (Russian River Valley),Pinot Noir,Merry Edwards,38.483083,-122.80327
18772,US,"This wine comes from a new vineyard source for the producer, who continues to astound with Chardonnay. The site rises to well-crafted heights in the winemaker's hands. Made in a small quantity, the wine offers zesty lemon intensity and concentrated acidity, the entire balanced experience rewarding in its bright complexity.",Woolsey Road Vineyard,96,65,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Ramey 2012 Woolsey Road Vineyard Chardonnay (Russian River Valley),Chardonnay,Ramey,38.483083,-122.80327
18773,US,"This longstanding collaboration between vintner and grower reflects years of mutual understanding and respect. The wine offers pretty orange blossom and lemon verbena aromas that wrap around a composed, well-integrated and mineral-laden body. Voluptuous, the wine is also well-balanced, finishing in bright acidity. It is deliciously good.",Hyde Vineyard,96,65,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Ramey 2012 Hyde Vineyard Chardonnay (Carneros),Chardonnay,Ramey,38.2554723,-122.3349422
18785,US,"A perennial standout for good reason, this Pinot is light in color and elusive at first. Teasing in baked strawberry-rhubarb, it subtly offers a rare purity of focused fruit flavor, with gorgeous aromas of dewy rose petals playing a substantial supporting role. Thanks to subtle oak, the finish builds in terms of intensity, with the wine maintaining a delicate balance of minerality.",Allen Vineyard,96,82,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Williams Selyem 2012 Allen Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem,38.483083,-122.80327
52,US,"A waft of smoky char and toasty oak provide a rich foundation and compelling entry into this one-acre vineyard-designate from the historic grower, before unleashing, slowly, a torrent of melon and fresh-cut apple with a length of intriguing nutmeg and cardamom. Medium-bodied and lush, it will remain on your palate memory a long time.",Sweetwater,96,68,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Rochioli 2014 Sweetwater Chardonnay (Russian River Valley),Chardonnay,Rochioli,38.483083,-122.80327
51,US,"Citrus-kissed saltiness lies at the core of this incredibly delicious, deliriously crafted wine, from the great grape grower in the heart of the Russian River Valley. Beautifully crisp, it lingers in stony minerality and a freshness of apricot, memorable from first sip to last.",South River,96,68,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Rochioli 2014 South River Chardonnay (Russian River Valley),Chardonnay,Rochioli,38.483083,-122.80327
7707,US,"This has a grand array of exotic flinty, meaty, smoky and spicy aromas. The powerful flavors taste a bit restrained at first sip, then unfold and seem to expand on the palate. Pure and brilliant layers of ripe blackberry, smoked herbs and darkest chocolate ride on an elegant texture of fine tannins and supportive acidity. Drink from 2018É??2030.",Ascent,96,90,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Terre Rouge 2012 Ascent Syrah (Sierra Foothills),Syrah,Terre Rouge,33.3241157,-111.9875757
18851,US,"This is a unicorn wine that only gets made in exceptional yearsÉ??the last time was a decade ago. Hailing from Morrison Lane, the oldest Syrah plantings in the valley, it brings mesmerizing aromas of blackberry, black fruit, moist earth and wet stone. The black-fruit flavors consume the palate, showing density, depth and exceptional length. It's a complete heart-stopper.",The Hustler,96,140,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,K Vintners 2012 The Hustler Syrah (Walla Walla Valley (WA)),Syrah,K Vintners,46.0655953,-118.3387429
7362,US,"The multiple discoveries (the forgotten vines, the monks' secret recipe) behind Deborah Hall's project are fascinating enough, yet the golden orange wine is also utterly delicious. Old Fashioned cocktail-like aromas of maraschino cherry and orange rind mix with roasted nuts and a touch of brandy on the nose. Flavors of simmered honey, buttery whiskey and pear reduction entertain the palate, which benefits from remarkable acidity and grip, achieving utmost balance for a dessert wine.",Ancient Vine Angelica Marcelina's Vineyard,96,150,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Gypsy Canyon NV Ancient Vine Angelica Marcelina's Vineyard Mission (Sta. Rita Hills),Mission,Gypsy Canyon,34.6422431,-120.438894
5241,US,"A perennial knockout, this vintage delivers as always, combining 7% Petite Sirah, Mourv??dre and Syrah from the estate into the mix. Altogether, it opens in a field of wildflowers aromatic before unfurling tart acidity to keep freshly layered soft, supple tannin and red cherry and berry. Sprinklings of white pepper and clove factor in.",Rocky Knoll Estate Grown,96,58,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Limerick Lane 2014 Rocky Knoll Estate Grown Zinfandel (Russian River Valley),Zinfandel,Limerick Lane,38.483083,-122.80327
7782,US,"A booming but expertly balanced wine, this blend of 54% Syrah, 18% Petite Sirah, 18% Zinfandel and 10% Grenache shows aromas of black currant, black olive, black cherry, sweet woody spice and powdered hot cocoa. Elegant mocha and cappuccino notes thrive on the palate, which is brightened by penetrating acidity. It boasts perfectly polished tannins and ripe fig flavors, with a flash of dark chocolate on the finish.",Reckoning,96,58,California,Templeton Gap District,Central Coast,Matt Kettmann,@mattkettmann,ONX 2015 Reckoning Red (Templeton Gap District),Red Blend,ONX,35.5496939,-120.7060049
7759,US,"This first estate-grown bottling of Rediviva is 55% Cabernet Sauvignon and 45% Syrah. Amazing aromatic complexity grabs you and leads you into the dark interior of the wine, a riot of red and black fruits, moist earth, smoke, anise, herb and toast. Power and elegance combined, with the structure to age for a decade or more.",Columbia Rediviva,96,48,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Buty 2006 Columbia Rediviva Cabernet Sauvignon-Syrah (Horse Heaven Hills),Cabernet Sauvignon-Syrah,Buty,46.1331878,-119.8678139
7757,US,"Green olive, green stem and fresh herb aromas are at the fore, with cured meat, peat, smoke and mineral notes close behind. The palate offers dense fruit and savory flavors that command attention, with smoked meat notes that just won't quit. The balance and length are mesmerizing.",Royal City,96,140,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Charles Smith 2012 Royal City Syrah (Columbia Valley (WA)),Syrah,Charles Smith,48.9220655,-122.1390398
12862,US,"This has astonishing depth of flavor, with dense black fruits marbled with notes of smoked meat, clove, balsamic and an earthy flavor. It's a wine to savor and cellar.",Lagniappe,96,45,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Gramercy 2009 Lagniappe Syrah (Columbia Valley (WA)),Syrah,Gramercy,48.9220655,-122.1390398
20981,US,"The impressively plump and prominent strawberry and red-currant aromas are alluring on the nose, enhanced by touches of cinnamon and pepper dust. The palate combines savory pepper spice, red plums and berries, with a solidly simmering acidity shimmering through the entire sip.",Solomon Hills Vineyard,96,62,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Foxen 2015 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Foxen,34.9025217,-120.4478438
7708,US,"Still tight, and expertly crafted and structured, this single-vineyard estate wine is meticulous in velvety, plush texture, completely seductive at every angle. Rich red cherry, pomegranate and vanilla improvise against one another without ever missing a beat, finishing in fully integrated flavor. Drink now through 2022.",Katherine Lindsay Estate,96,85,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Paul Hobbs 2012 Katherine Lindsay Estate Pinot Noir (Russian River Valley),Pinot Noir,Paul Hobbs,38.483083,-122.80327
18771,US,"Silky, with pronounced tannins that should mellow in time, this is an earthy, stemmy and perfumed wine. Succulent and balanced, it's brightly exuberant in black cherry yet brooding and complex throughout, changing slightly from savory to floral and back again. It's an incredible wine out of the gate; cellar with confidence, through 2021.",Olivet Lane Vineyard,96,75,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Williams Selyem 2013 Olivet Lane Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem,38.483083,-122.80327
18852,US,"The aromas pop, with notes of stargazer lilies, brown stems, green olive and smoked meat, revealing more on each swirl. The fruit and savory flavors are rich and layered, earthshaking in their intensity, with a lengthy finish that only heightens the interest. It's a complete showstopper.",Royal City Northridge Vineyard,96,140,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Charles Smith 2013 Royal City Northridge Vineyard Syrah (Columbia Valley (WA)),Syrah,Charles Smith,48.9220655,-122.1390398
14486,US,"This is just this side of unctuous, a decadently ripe and rich late harvest Riesling. The residual sugar is at 23%, the alcohol a moderate 8%, and the balance impeccable, with a buoyant underpinning to the intense sweetness. It avoids sugary granularity as well, offering seamless, concentrated fruit that piles on flavors of peach, apricot, banana, mango, papaya and melon in wild profusion, trailing into sweet tea and honey. Apart from the winery's Single Berry Select Trockenbeerenauslese project with Ernie Loosen, this is the best dessert wine made in Washington.",Ethos Late Harvest,96,40,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Chateau Ste. Michelle 2006 Ethos Late Harvest White Riesling (Columbia Valley (WA)),White Riesling,Chateau Ste. Michelle,48.9220655,-122.1390398
5242,US,"This bottling from a winery that uses both the highest of technology and most old school of techniques is incredibly subtle at first, but then come waves of mace, mulberry, forest floor and dried shiitake aromas. The palate starts with sharper herbs and spice, from thyme to nutmeg and allspice, and then the purple flower flavors explode like a bouquet in the mouth. Elderflower touches fly into the finish.",Domaine Du Docteur Rodgers,96,102,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Clos de la Tech 2012 Domaine Du Docteur Rodgers Pinot Noir (Santa Cruz Mountains),Pinot Noir,Clos de la Tech,37.1108921,-121.8448906
7784,US,"This bottling from the San Francisco-based producer is about as Burgundian as California gets. Aromas of honeydew rinds, Meyer lemon pith and honeysuckle meet with briny chalk, chiseled marble and a touch of almond warmth on the nose. The extremely fresh, clean and chalky palate shows stunning texture as well as rounded lemon blossom, sea salt and the faintest butter flavor.",Solomon Hills Vineyard,96,36,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Ryan Cochrane 2015 Solomon Hills Vineyard Chardonnay (Santa Maria Valley),Chardonnay,Ryan Cochrane,34.9025217,-120.4478438
7758,US,"A vineyard for both Chardonnay and Pinot Noir, Allen is exquisitely detailed in this textured bottling that's weighty, with a tannin backdrop and replete with savory fruit. Wild strawberry, Bing cherry and black tea stand out, with an undercurrent of lushness that's hard to resist.",Allen Vineyard,96,82,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Williams Selyem 2013 Allen Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem,38.483083,-122.80327
14173,US,"A huge wine, fat with the characteristic Cayuse funk, and accented with plenty of meaty asphalt. Potent and powerful, bursting with berries and plums, scented with the aromas of earth and sweet (not dried) herb, chicken stock and flavors that run through the same exotic range. Round and full, forward and balanced, drinking well and maybe just a bit rounder than its brethren.",En Chamberlin Vineyard,96,70,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Cayuse 2008 En Chamberlin Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Cayuse,46.0655953,-118.3387429
15512,US,"This marks another stellar vintage of The Traveler, an estate-grown block planted to a suitcase clone that seems to have found a happy place in Fort Ross-Seaview. Dark cherry and strawberry jump out of the glass, around a core of lush, spicy and decadent chocolate swirls. Buoyant in acidity, this is a gorgeous Pinot with lilting traces of orange and cranberry on the finish.",Estate Grown The Traveler,96,150,California,Fort Ross-Seaview,Sonoma,Virginie Boone,@vboone,Wayfarer 2013 Estate Grown The Traveler Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer,38.5142596,-123.2435574
2858,US,"Named after neighboring winery owner Mike Etzel (Beaux Fr??res), this exceptional wine is brilliantly focused and rippling with muscular depth. The palate is etched with blackberry and black cherry fruit, immersed in lush vanilla, coffee and caramel tones. It's instantly gratifying, impossibly seductive and exceptional in every way.",Estate Vineyard Etzel Block,96,60,Oregon,Ribbon Ridge,Willamette Valley,Paul Gregutt,@paulgwine?ˇ,Patricia Green Cellars 2015 Estate Vineyard Etzel Block Pinot Noir (Ribbon Ridge),Pinot Noir,Patricia Green Cellars,45.3542829,-123.0739933
2857,US,"Stunningly good, this hits you with waves of fruit, acidity and spice. It reverberates across, down and through the palate, recalling clover, citrus zest and grapefruit, all underlaid by bracing minerality.",Ribbon Ridge Estate Dry,96,32,Oregon,Ribbon Ridge,Willamette Valley,Paul Gregutt,@paulgwine?ˇ,Trisaetum 2016 Ribbon Ridge Estate Dry Riesling (Ribbon Ridge),Riesling,Trisaetum,45.3542829,-123.0739933
5243,US,"Dark gold in color, this is a memorably luxurious and vivacious wine, tangy in grapefruit, burnt orange and cardamom. Layered and complex, it evolves as it opens to a lingering tease of butterscotch topped in nutmeg. It is an outstanding vision of an outstanding site, a wine for the ages.",Ritchie Vineyard,96,60,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Gary Farrell 2014 Ritchie Vineyard Chardonnay (Russian River Valley),Chardonnay,Gary Farrell,38.483083,-122.80327
16811,US,"Iron and smoke accents wrap around densely-layered fruits with excellent concentration. It's gorgeous, deep and textured, with the focus on a rich raspberry and cherry core inside the frame of umami, leaf and seaweed.",En Chamberlin Vineyard,96,80,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Cayuse 2010 En Chamberlin Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Cayuse,46.0655953,-118.3387429
3651,US,"Gilles Nicault, who oversees the Long Shadows portfolio, makes this pure Cabernet. If this had a Napa Valley label on it, it could sell for three times the price. The structure is full and fleshy, but with the vividly bright fruit that screams Washington State. Juicy acidity underscores the berries, cherries and plums; the generously applied new oak adds texture and layers of caramel, coconut and chocolate. A bottle that belongs with Washington's (and California's) best.",Andreas,96,80,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Den Hoed 2007 Andreas Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,Den Hoed,46.1331878,-119.8678139
13563,US,"To tame Durell is no easy featÉ??indeed at first this wine exudes matchstick and robustness on the nose and palate. But tameness comes in the form of lemon and grapefruit pith, brightening the load, with a sinewy structure supporting its core. The finish is succulent in honey and stone. Drink now through 2020.",Durell Vineyard,96,55,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Gary Farrell 2013 Durell Vineyard Chardonnay (Sonoma Valley),Chardonnay,Gary Farrell,38.291859,-122.4580356
20441,US,"It takes some time to open up but when it does, this wine reveals perfumed aromas of potpourri, green olive, savory spices, peat, pepper and mineral. The palate is equal parts light and dense with almost chewy, savory flavors that won't quit.",God Only Knows,96,90,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Cayuse 2012 God Only Knows Grenache (Walla Walla Valley (WA)),Grenache,Cayuse,46.0655953,-118.3387429
21664,US,"DuBrul is perhaps the single most sought-after vineyard in the entire Yakima Valley, and at this price this Tamarack selection is an absolute steal. Pomegranate, blueberry, black cherry and cassis notes lead into a full-flavored wine that remains concise and perfectly defined. The blend is 62% Cabernet Sauvignon, 31% Merlot and 7% Cabernet Franc. This is concentrated, with earthy depths suggesting Dr. Pepper, espresso and dark chocolate.",DuBrul Vineyard Reserve Red,96,50,Washington,Rattlesnake Hills,Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Tamarack Cellars 2008 DuBrul Vineyard Reserve Red Red (Rattlesnake Hills),Red Blend,Tamarack Cellars,46.4253573,-120.2941059
21662,US,"A portion of the Cabernet Sauvignon is sourced from vines planted in 1973, with additions of 10% Petit Verdot and 8% Merlot. It's an exceptionally fine-tuned blend, with pinpoint fruit flavors, sappy acids and complementary barrel notes. The classic structure, which is the hallmark of all Betz wines, suggests a long life ahead.",P??re de Famille,96,65,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Betz Family 2009 P??re de Famille Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Betz Family,48.9220655,-122.1390398
21661,US,"This is a blend of 57% Cabernet Sauvignon, 21% Petit Verdot, 8% Cabernet Franc, 7% Malbec and 7% Merlot. A masterpiece of blending, it has myriad pinpoint details, from the nose of flowers and berries, to the mouthfilling m??lange of red and black fruits and finishing highlights of pepper and Asian spice. A precise, complex, elegant and powerful   Pentad with tremendous length, it represents the pinnacle of vintner Casey McClellan's 25 years of winemaking.",Pentad Red Wine,96,75,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Seven Hills 2009 Pentad Red Wine Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Seven Hills,46.0655953,-118.3387429
9146,US,"Spicy in aroma and mouthfeel, this is a wondrous wine, gorgeous in lovely ripe cherry and strawberry notes that are completely enveloped in thrills of white pepper. Those who love cool climate Rh??nes will find much to ponder and celebrate. Racy, it is fragrant and lean, made without fining or filtering. Seek this one out.",Grenache Noir,96,27,California,El Dorado,Sierra Foothills,Virginie Boone,@vboone,Donkey & Goat 2012 Grenache Noir Grenache (El Dorado),Grenache,Donkey & Goat,37.8167564,-96.8869965
21660,US,"Quilceda Creek's Red Mountain Cabernet Sauvignon opens with a dense, exotic and luxurious nose: a mix of roasted coffee, dark fruit and Asian spice. At first it's quite dense and unyielding, but it opens slowly over a period of daysÉ??not hoursÉ??remaining dense and compact, with a remarkable array of dark fruits and barrel flavors. As with its companion reds from Quilceda Creek, this is a wine to cellar for decades.",Galitzine Vineyard,96,110,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Quilceda Creek 2009 Galitzine Vineyard Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Quilceda Creek,49.1024147,-117.8194705
13564,US,"The winery's ??dition Limit??e is a block selection, ripe, rich and beautifully rounded out. It's totally full bodied without becoming jammy, a lush compote of berries, cherries, citrus oil and refined acids that conjure up ripe pineapple juice. A long, lightly smoky finish seems to go on for endless minutes. Drink now through 2030.",??dition Limit??e,96,85,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine?ˇ,Domaine Drouhin Oregon 2012 ??dition Limit??e Pinot Noir (Dundee Hills),Pinot Noir,Domaine Drouhin Oregon,45.277904,-123.018535
14192,US,"This is the first time a King Coal has been made, all sourced from the Stoneridge Vineyard. It's a unique and delicious wine, seamless and complex. The flavors are amazingly detailed, with layer upon layer of candied fruit, raisins, Bourbon barrel, Asian spice, ginger, toast and more. The flavors pile on and continue into a seemingly endless finish, resonating into a spicy blend of fruit and Christmas cookies.",King Coal,96,100,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Charles Smith 2008 King Coal Cabernet Sauvignon-Syrah (Columbia Valley (WA)),Cabernet Sauvignon-Syrah,Charles Smith,48.9220655,-122.1390398
7783,US,"Robert Mondavi winemaker Genevieve Janssens makes this wine, a small-production solo project that's worth seeking. The 83% Cabernet Sauvignon is sourced from Hendry Ranch and the 17% Cabernet Franc from Detert East Vineyard, a stone's throw from To Kalon. Impressively concentrated and lengthy, within a wealth of power, it is nuanced in black cherry, leather saddle and crushed rock, with the scent of violet never far behind.",Limited Edition,96,155,California,Napa Valley,Napa,Virginie Boone,@vboone,Portfolio 2013 Limited Edition Red (Napa Valley),Bordeaux-style Red Blend,Portfolio,38.5024689,-122.2653887
20443,US,"Arresting and perfumed, this wine displays aromas of stargazer lilies, fire pit, tapenade and smoked meat, displaying exquisite nuance and detail. Flavors are intensely rich yet light in their styling, with a savory and floral finish that continues as long as you care to count. It displays a rare sense of delicacy and intensity that is breathtaking.",Sur Echalas Vineyard,96,115,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Horsepower 2012 Sur Echalas Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Horsepower,46.0655953,-118.3387429
3650,US,"In comparison with the 2008 Cabernet, this is the bigger wine, less sleek, more chewy. As it opens in the glass, the aromas display incense scents, and there is assertive, blocky, chewy fruitÉ??É??especially black cherry. The tannins are also bigger, blockier, more substantial than the Cabernet. With hours of breathing time, exotic spices (saffron and more) emerge.",Reserve,96,135,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Leonetti Cellar 2008 Reserve Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Leonetti Cellar,46.0655953,-118.3387429
14174,US,"Superb sculpture and definition in this compact and lightly funky evocation of pure Cabernet Sauvignon. The deep, dense, super ripe berry flavors are framed within a bouquet of dried herbs, pepper, mineral, astringent tannins, and a crisp mix of earth, wood and plant flavors. Superb length and ageability.",Widowmaker,96,70,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Cayuse 2008 Widowmaker Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Cayuse,46.0655953,-118.3387429
